Wavelength_nm	Energy_eV	VOC_V	JSC_mA/cm2	FF_%	PCE_%
315.52163	3.93	3.42209	0.01881	95.58184	0.06152
315.68228	3.928	3.42078	0.0193	95.58052	0.06309
315.8431	3.926	3.41946	0.01979	95.57915	0.06468
316.00408	3.924	3.41814	0.0203	95.57767	0.0663
316.16522	3.922	3.41683	0.02082	95.57628	0.06799
316.32653	3.92	3.41554	0.02138	95.57497	0.0698
316.488	3.918	3.41428	0.02198	95.57361	0.07173
316.64964	3.916	3.41304	0.02261	95.5722	0.07377
316.81145	3.914	3.41181	0.02328	95.57092	0.0759
316.97342	3.912	3.4106	0.02397	95.56968	0.07812
317.13555	3.91	3.40938	0.02468	95.56839	0.08042
317.29785	3.908	3.40816	0.02541	95.56704	0.08278
317.46032	3.906	3.40694	0.02616	95.56564	0.08518
317.62295	3.904	3.4057	0.02692	95.5644	0.08761
317.78575	3.902	3.40444	0.02767	95.56309	0.09001
317.94872	3.9	3.40315	0.02841	95.56167	0.09239
318.11185	3.898	3.40184	0.02915	95.56018	0.09476
318.27515	3.896	3.40053	0.0299	95.55887	0.09717
318.43862	3.894	3.39921	0.03067	95.55746	0.09963
318.60226	3.892	3.39789	0.03146	95.55593	0.10215
318.76607	3.89	3.39658	0.03227	95.5546	0.10474
318.93004	3.888	3.39527	0.03311	95.55322	0.10742
319.09418	3.886	3.39395	0.03397	95.55172	0.11015
319.2585	3.884	3.39262	0.03482	95.55031	0.11287
319.42298	3.882	3.39126	0.03566	95.5489	0.11555
319.58763	3.88	3.38989	0.0365	95.54732	0.11821
319.75245	3.878	3.38851	0.03734	95.54589	0.1209
319.91744	3.876	3.38712	0.0382	95.54441	0.12363
320.0826	3.874	3.38574	0.03909	95.54279	0.12645
320.24793	3.872	3.38438	0.04002	95.54143	0.12941
320.41344	3.87	3.38304	0.04101	95.53996	0.13256
320.57911	3.868	3.38171	0.04205	95.53841	0.13585
320.74496	3.866	3.38038	0.04311	95.53708	0.13922
320.91097	3.864	3.37904	0.04418	95.53562	0.14261
321.07716	3.862	3.37768	0.04525	95.53403	0.146
321.24352	3.86	3.37631	0.04631	95.53266	0.14936
321.41006	3.858	3.37491	0.04735	95.53111	0.15267
321.57676	3.856	3.3735	0.04838	95.52954	0.15592
321.74364	3.854	3.37206	0.04939	95.52803	0.15911
321.9107	3.852	3.37059	0.05038	95.52631	0.16221
322.07792	3.85	3.36911	0.05135	95.52482	0.16526
322.24532	3.848	3.36762	0.05231	95.52304	0.16826
322.4129	3.846	3.36611	0.05326	95.52153	0.17125
322.58065	3.844	3.36459	0.05421	95.51972	0.17421
322.74857	3.842	3.36307	0.05515	95.51819	0.17716
322.91667	3.84	3.36153	0.05608	95.51638	0.18008
323.08494	3.838	3.35999	0.05703	95.51481	0.18303
323.25339	3.836	3.35846	0.05802	95.51303	0.1861
323.42201	3.834	3.35694	0.05906	95.51146	0.18935
323.59081	3.832	3.35544	0.06015	95.50971	0.19277
323.75979	3.83	3.35396	0.06129	95.50817	0.19632
323.92894	3.828	3.35248	0.06247	95.50641	0.20001
324.09827	3.826	3.351	0.06368	95.50491	0.2038
324.26778	3.824	3.34952	0.06491	95.50316	0.20765
324.43747	3.822	3.34804	0.06616	95.50164	0.21154
324.60733	3.82	3.34655	0.06742	95.4999	0.21546
324.77737	3.818	3.34506	0.06867	95.49833	0.21936
